ABC19001012017D33212567            019850CHOFER1P
DYP33305052017D42178832            123110CHOFER2R
FRE18003042017D11432689            150045CHOFER3T
FRE18020062017D12714568            150045CHOFER1T
HRK90319062017D23456223            190293CHOFER1R
JFK12306062017D01245112            666544CHOFER2P
JVC77704052017D23452794            221393CHOFER3R
KFM30608072017D29323288            592340CHOFER1T
NNS19202032017D36170503            819104CHOFER2P
NNS19207062017D36170503            819104CHOFER4T
NYC55608062017D09321992            332132CHOFER1P
