ABC19001012017D33212567            019850CHOFER3P
DYP33305052017D42178832            123110CHOFER1T
FRE18003042017D11432689            150045CHOFER7R
FRE18020062017D12714568            150045CHOFER2P
HRK90319062017D23456223            190293CHOFER3T
JFK12306062017D01245112            666544CHOFER4R
JVC77704052017D23452794            221393CHOFER4T
KFM30608072017D29323288            592340CHOFER5P
NNS19202032017D36170503            819104CHOFER1R
NNS19207062017D36170503            819104CHOFER2T
NYC55608062017D09321992            332132CHOFER3P
